prefix,uri,rdfxml,turtle/n3,ntriples,rdfa,xml schema,json
rss,http://purl.org/rss/1.0/,http://purl.org/rss/1.0/schema.rdf,,,,,
sc,http://umbel.org/umbel/sc/,,,,,,
cyc,http://sw.opencyc.org/concept/,,,,,,
admin,http://webns.net/mvcb/,,,,,,
commerce,http://search.yahoo.com/searchmonkey/commerce/,,,,,,
content,http://purl.org/rss/1.0/modules/content/,,,,,,
gldp,http://www.w3.org/ns/people#,,,,,,
xhtml,http://www.w3.org/1999/xhtml#,,,,,,
bill,http://www.rdfabout.com/rdf/schema/usbill/,,,,,,
wot,http://xmlns.com/wot/0.1/,http://xmlns.com/wot/0.1/index.rdf,,,,,
test2,http://this.invalid/test2#,,,,,,
factbook,http://www4.wiwiss.fu-berlin.de/factbook/ns#,,,,,,
drugbank,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/,,,,,,
cc,http://creativecommons.org/ns#,http://creativecommons.org/schema.rdf,,,,,
media,http://search.yahoo.com/searchmonkey/media/,,,,,,
ex,http://example.com/,,,,,,
dv,http://rdf.data-vocabulary.org/#,http://rdf.data-vocabulary.org/rdf.xml,,,,,
gv,http://rdf.data-vocabulary.org/#,http://rdf.data-vocabulary.org/rdf.xml,,,,,
gd,http://rdf.data-vocabulary.org/#,http://rdf.data-vocabulary.org/rdf.xml,,,,,
cv,http://purl.org/captsolo/resume-rdf/0.2/cv#,,,,,,
osag,http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#,http://www.ordnancesurvey.co.uk/oswebsite/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf,,,,,
owlim,http://www.ontotext.com/trree/owlim#,,,,,,
sism,http://purl.oclc.org/NET/sism/0.1/,,,,,,
memo,http://ontologies.smile.deri.ie/2009/02/27/memo#,,,,,,
afn,http://jena.hpl.hp.com/ARQ/function#,,,,,,
fn,http://www.w3.org/2005/xpath-functions#,,,,,,
xhv,http://www.w3.org/1999/xhtml/vocab#,,,,http://www.w3.org/1999/xhtml/vocab/,,
ome,http://purl.org/ontomedia/core/expression#,,,,,,
xf,http://www.w3.org/2002/xforms/,,,,,,
